Query Name,ResultDir,exit_status,macrobase.analysis.transformType,macrobase.loader.loaderType,macrobase.analysis.contextual.denseContextTau,macrobase.analysis.contextual.pruning.triviality,macrobase.analysis.contextual.pruning.contextContainedInOutliers,macrobase.analysis.contextual.pruning.mad.noOutliers,macrobase.analysis.contextual.pruning.mad.containedOutliers,timeTotal,timeBuildLattice,timeDetectContextualOutliers,timeMADNoOutliersContainedOutliersPruned,numDensityPruning,numTrivialityPruning,numContextContainedInOutliersPruning,numContextsGenerated,numMadNoOutliers,numMadContainedOutliers,numContextsGeneratedWithMaximalOutliers,precision,recall,precisionRelaxed,recallRelaxed
cmt100000,/data/x4chu/macrobase/bench/contextual/workflows/cmt100000/10-12-09:07:44,Completed,MAD,POSTGRES_LOADER,0.01,True,True,True,True,352045,236096,115297,4876,157171,9594,245,444586,42799,348111,53675,,,,
cmt100000,/data/x4chu/macrobase/bench/contextual/workflows/cmt100000/10-12-09:14:22,Completed,MAD,POSTGRES_LOADER,0.01,True,False,True,True,381203,261056,119444,5287,154943,9857,0,476227,44804,373869,56620,,,,
cmt100000,/data/x4chu/macrobase/bench/contextual/workflows/cmt100000/10-12-09:21:28,Timeout 3600,MAD,POSTGRES_LOADER,0.01,False,True,True,True,,,,,,,,,,,,,,,
cmt100000,/data/x4chu/macrobase/bench/contextual/workflows/cmt100000/10-12-10:21:29,Timeout 3600,MAD,POSTGRES_LOADER,0.01,False,False,True,True,,,,,,,,,,,,,,,
cmt100000,/data/x4chu/macrobase/bench/contextual/workflows/cmt100000/10-12-11:21:30,Completed,MAD,POSTGRES_LOADER,0.01,True,True,False,True,353985,236918,116399,3891,149742,9313,304,458896,0,402819,56074,,,,
cmt100000,/data/x4chu/macrobase/bench/contextual/workflows/cmt100000/10-12-11:28:08,Completed,MAD,POSTGRES_LOADER,0.01,True,False,False,True,379061,256660,121672,4289,156444,9729,0,484079,0,427119,55621,,,,
cmt100000,/data/x4chu/macrobase/bench/contextual/workflows/cmt100000/10-12-11:35:10,Timeout 3600,MAD,POSTGRES_LOADER,0.01,False,True,False,True,,,,,,,,,,,,,,,
cmt100000,/data/x4chu/macrobase/bench/contextual/workflows/cmt100000/10-12-12:35:11,Timeout 3600,MAD,POSTGRES_LOADER,0.01,False,False,False,True,,,,,,,,,,,,,,,
cmt100000,/data/x4chu/macrobase/bench/contextual/workflows/cmt100000/10-12-13:35:12,Completed,MAD,POSTGRES_LOADER,0.01,True,True,True,False,785868,250359,534504,2699,157806,9640,310,454656,43478,0,55724,,,,
cmt100000,/data/x4chu/macrobase/bench/contextual/workflows/cmt100000/10-12-13:49:01,Completed,MAD,POSTGRES_LOADER,0.01,True,False,True,False,796708,241355,554341,2627,157590,9674,0,464824,43873,0,55287,,,,
cmt100000,/data/x4chu/macrobase/bench/contextual/workflows/cmt100000/10-12-14:03:02,OutOfMemory-Xmx50g,MAD,POSTGRES_LOADER,0.01,False,True,True,False,,,,,,,,,,,,,,,
cmt100000,/data/x4chu/macrobase/bench/contextual/workflows/cmt100000/10-12-14:57:37,OutOfMemory-Xmx50g,MAD,POSTGRES_LOADER,0.01,False,False,True,False,,,,,,,,,,,,,,,
cmt100000,/data/x4chu/macrobase/bench/contextual/workflows/cmt100000/10-12-15:46:23,Completed,MAD,POSTGRES_LOADER,0.01,True,True,False,False,868999,258882,609058,0,153703,9551,281,465152,0,0,55741,,,,
cmt100000,/data/x4chu/macrobase/bench/contextual/workflows/cmt100000/10-12-16:01:34,Completed,MAD,POSTGRES_LOADER,0.01,True,False,False,False,809835,232150,576705,0,155718,9843,0,452597,0,0,54142,,,,
cmt100000,/data/x4chu/macrobase/bench/contextual/workflows/cmt100000/10-12-16:15:48,OutOfMemory-Xmx50g,MAD,POSTGRES_LOADER,0.01,False,True,False,False,,,,,,,,,,,,,,,
cmt100000,/data/x4chu/macrobase/bench/contextual/workflows/cmt100000/10-12-17:08:06,Timeout 3600,MAD,POSTGRES_LOADER,0.01,False,False,False,False,,,,,,,,,,,,,,,
