Query Name,ResultDir,exit_status,macrobase.analysis.transformType,macrobase.loader.loaderType,macrobase.analysis.contextual.denseContextTau,macrobase.analysis.contextual.pruning.triviality,macrobase.analysis.contextual.pruning.contextContainedInOutliers,macrobase.analysis.contextual.pruning.mad.noOutliers,macrobase.analysis.contextual.pruning.mad.containedOutliers,timeTotal,timeBuildLattice,timeDetectContextualOutliers,timeMADNoOutliersContainedOutliersPruned,numDensityPruning,numTrivialityPruning,numContextContainedInOutliersPruning,numContextsGenerated,numMadNoOutliers,numMadContainedOutliers,numContextsGeneratedWithMaximalOutliers,precision,recall,precisionRelaxed,recallRelaxed
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/10-12-09:07:56,Completed,MAD,POSTGRES_LOADER,0.01,True,True,True,True,27810,16254,11369,413,36873,806,86,97313,59070,37116,1127,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/10-12-09:08:29,Completed,MAD,POSTGRES_LOADER,0.01,True,False,True,True,25138,12500,12430,380,37925,812,0,97746,59478,37133,1127,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/10-12-09:08:59,Completed,MAD,POSTGRES_LOADER,0.01,False,True,True,True,35195,21195,13820,492,36873,0,86,140196,95947,43122,1127,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/10-12-09:09:39,Completed,MAD,POSTGRES_LOADER,0.01,False,False,True,True,32263,18724,13358,468,37925,0,0,140989,96697,43155,1127,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/10-12-09:10:17,Completed,MAD,POSTGRES_LOADER,0.01,True,True,False,True,27864,14607,13096,514,36873,806,86,97313,0,96185,1127,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/10-12-09:10:50,Completed,MAD,POSTGRES_LOADER,0.01,True,False,False,True,24779,13638,10979,401,37925,812,0,97746,0,96364,1127,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/10-12-09:11:20,Completed,MAD,POSTGRES_LOADER,0.01,False,True,False,True,34249,20144,13922,534,36873,0,86,140196,0,139068,1127,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/10-12-09:11:59,Completed,MAD,POSTGRES_LOADER,0.01,False,False,False,True,32968,17978,14808,582,37925,0,0,140989,0,139359,1127,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/10-12-09:12:37,Completed,MAD,POSTGRES_LOADER,0.01,True,True,True,False,53332,12125,41032,301,36873,806,86,97313,59070,0,1127,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/10-12-09:13:36,Completed,MAD,POSTGRES_LOADER,0.01,True,False,True,False,50868,10627,40060,293,37925,812,0,97746,59478,0,1127,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/10-12-09:14:32,Completed,MAD,POSTGRES_LOADER,0.01,False,True,True,False,62566,15625,46758,332,36873,0,86,140196,95947,0,1127,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/10-12-09:15:39,Completed,MAD,POSTGRES_LOADER,0.01,False,False,True,False,60422,14864,45273,349,37925,0,0,140989,96697,0,1127,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/10-12-09:16:45,Completed,MAD,POSTGRES_LOADER,0.01,True,True,False,False,84423,12682,71567,0,36873,806,86,97313,0,0,1127,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/10-12-09:18:14,Completed,MAD,POSTGRES_LOADER,0.01,True,False,False,False,87056,12809,74036,0,37925,812,0,97746,0,0,1127,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/10-12-09:19:45,Completed,MAD,POSTGRES_LOADER,0.01,False,True,False,False,119074,16252,102522,0,36873,0,86,140196,0,0,1127,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/10-12-09:21:49,Completed,MAD,POSTGRES_LOADER,0.01,False,False,False,False,119689,15629,103679,0,37925,0,0,140989,0,0,1127,,,,
