Query Name,ResultDir,exit_status,macrobase.analysis.transformType,macrobase.loader.loaderType,macrobase.analysis.contextual.denseContextTau,macrobase.analysis.contextual.pruning.triviality,macrobase.analysis.contextual.pruning.contextContainedInOutliers,macrobase.analysis.contextual.pruning.mad.noOutliers,macrobase.analysis.contextual.pruning.mad.containedOutliers,timeTotal,timeBuildLattice,timeDetectContextualOutliers,timeMADNoOutliersContainedOutliersPruned,numDensityPruning,numTrivialityPruning,numContextContainedInOutliersPruning,numContextsGenerated,numMadNoOutliers,numMadContainedOutliers,numContextsGeneratedWithMaximalOutliers,precision,recall,precisionRelaxed,recallRelaxed
fed_disbursements100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements100000/10-12-09:07:52,Completed,MAD,POSTGRES_LOADER,0.01,True,True,True,True,12297,5560,6548,136,8043,438,6,17875,101,16347,1427,,,,
fed_disbursements100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements100000/10-12-09:08:18,Completed,MAD,POSTGRES_LOADER,0.01,True,False,True,True,11052,2990,7884,206,8056,438,0,17914,140,16347,1427,,,,
fed_disbursements100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements100000/10-12-09:08:43,Completed,MAD,POSTGRES_LOADER,0.01,False,True,True,True,23633,8687,14718,433,8043,0,7,56017,223,54365,1427,,,,
fed_disbursements100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements100000/10-12-09:09:21,Completed,MAD,POSTGRES_LOADER,0.01,False,False,True,True,23351,6763,16374,401,8056,0,0,56102,308,54365,1427,,,,
fed_disbursements100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements100000/10-12-09:09:57,Completed,MAD,POSTGRES_LOADER,0.01,True,True,False,True,11856,3204,8473,137,8043,438,6,17875,0,16447,1427,,,,
fed_disbursements100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements100000/10-12-09:10:22,Completed,MAD,POSTGRES_LOADER,0.01,True,False,False,True,12294,6398,5734,113,8056,438,0,17914,0,16447,1427,,,,
fed_disbursements100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements100000/10-12-09:10:49,Completed,MAD,POSTGRES_LOADER,0.01,False,True,False,True,24441,8016,16218,355,8043,0,7,56017,0,54587,1427,,,,
fed_disbursements100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements100000/10-12-09:11:27,Completed,MAD,POSTGRES_LOADER,0.01,False,False,False,True,22819,8013,14594,327,8056,0,0,56102,0,54587,1427,,,,
fed_disbursements100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements100000/10-12-09:12:03,Completed,MAD,POSTGRES_LOADER,0.01,True,True,True,False,34150,3185,30765,87,8043,438,6,17875,101,0,1427,,,,
fed_disbursements100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements100000/10-12-09:12:50,Completed,MAD,POSTGRES_LOADER,0.01,True,False,True,False,33946,3175,30562,98,8056,438,0,17914,140,0,1427,,,,
fed_disbursements100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements100000/10-12-09:13:37,Completed,MAD,POSTGRES_LOADER,0.01,False,True,True,False,82110,6219,75598,236,8043,0,7,56017,223,0,1427,,,,
fed_disbursements100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements100000/10-12-09:15:12,Completed,MAD,POSTGRES_LOADER,0.01,False,False,True,False,83402,5800,77299,296,8056,0,0,56102,308,0,1427,,,,
fed_disbursements100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements100000/10-12-09:16:49,Completed,MAD,POSTGRES_LOADER,0.01,True,True,False,False,32949,3306,29445,0,8043,438,6,17875,0,0,1427,,,,
fed_disbursements100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements100000/10-12-09:17:35,Completed,MAD,POSTGRES_LOADER,0.01,True,False,False,False,32231,3085,28957,0,8056,438,0,17914,0,0,1427,,,,
fed_disbursements100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements100000/10-12-09:18:21,Completed,MAD,POSTGRES_LOADER,0.01,False,True,False,False,81705,9784,71653,0,8043,0,7,56017,0,0,1427,,,,
fed_disbursements100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements100000/10-12-09:19:56,Completed,MAD,POSTGRES_LOADER,0.01,False,False,False,False,77014,5656,71076,0,8056,0,0,56102,0,0,1427,,,,
