Query Name,ResultDir,exit_status,macrobase.analysis.transformType,macrobase.loader.loaderType,macrobase.analysis.contextual.denseContextTau,macrobase.analysis.contextual.numTuples,macrobase.analysis.contextual.pruning.triviality,macrobase.analysis.contextual.pruning.contextContainedInOutliers,macrobase.analysis.contextual.pruning.mad.noOutliers,macrobase.analysis.contextual.pruning.mad.containedOutliers,timeTotal,timeBuildLattice,timeDetectContextualOutliers,timeMADNoOutliersContainedOutliersPruned,numDensityPruning,numTrivialityPruning,numContextContainedInOutliersPruning,numContextsGenerated,numMadNoOutliers,numMadContainedOutliers,numContextsGeneratedWithMaximalOutliers,precision,recall,precisionRelaxed,recallRelaxed
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-04-23:39:11,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,True,True,24769,14741,9863,297,37319,808,47,97487,70585,26208,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-04-23:39:41,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,False,True,True,24018,13086,10782,272,37925,812,0,97746,70837,26215,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-04-23:40:10,Completed,MAD,POSTGRES_LOADER,0.01,1000000,False,True,True,True,33165,19889,13111,331,37319,0,47,140515,109676,30145,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-04-23:40:48,Completed,MAD,POSTGRES_LOADER,0.01,1000000,False,False,True,True,31739,18943,12611,358,37925,0,0,140989,110137,30158,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-04-23:41:25,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,False,True,24816,14341,10321,396,37319,808,47,97487,0,96792,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-04-23:41:55,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,False,False,True,24618,13224,11240,419,37925,812,0,97746,0,96915,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-04-23:42:25,Completed,MAD,POSTGRES_LOADER,0.01,1000000,False,True,False,True,34888,21057,13655,471,37319,0,47,140515,0,139820,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-04-23:43:05,Completed,MAD,POSTGRES_LOADER,0.01,1000000,False,False,False,True,32393,16333,15899,498,37925,0,0,140989,0,140012,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-04-23:43:41,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,True,False,43702,12430,31088,217,37319,808,47,97487,70585,0,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-04-23:44:30,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,False,True,False,44677,12033,32431,251,37925,812,0,97746,70837,0,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-04-23:45:20,Completed,MAD,POSTGRES_LOADER,0.01,1000000,False,True,True,False,55945,16689,39038,261,37319,0,47,140515,109676,0,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-04-23:46:21,Completed,MAD,POSTGRES_LOADER,0.01,1000000,False,False,True,False,54574,14069,40299,298,37925,0,0,140989,110137,0,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-04-23:47:20,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,False,False,85338,12199,72953,0,37319,808,47,97487,0,0,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-04-23:48:51,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,False,False,False,86308,10411,75654,0,37925,812,0,97746,0,0,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-04-23:50:22,Completed,MAD,POSTGRES_LOADER,0.01,1000000,False,True,False,False,116774,16957,99525,0,37319,0,47,140515,0,0,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-04-23:52:24,Completed,MAD,POSTGRES_LOADER,0.01,1000000,False,False,False,False,112182,16081,95806,0,37925,0,0,140989,0,0,694,,,,
