Query Name,ResultDir,exit_status,macrobase.analysis.transformType,macrobase.loader.loaderType,macrobase.analysis.contextual.denseContextTau,macrobase.analysis.contextual.numTuples,macrobase.analysis.contextual.pruning.triviality,macrobase.analysis.contextual.pruning.contextContainedInOutliers,macrobase.analysis.contextual.pruning.mad.noOutliers,macrobase.analysis.contextual.pruning.mad.containedOutliers,timeTotal,timeBuildLattice,timeDetectContextualOutliers,timeMADNoOutliersContainedOutliersPruned,numDensityPruning,numTrivialityPruning,numContextContainedInOutliersPruning,numContextsGenerated,numMadNoOutliers,numMadContainedOutliers,numContextsGeneratedWithMaximalOutliers,precision,recall,precisionRelaxed,recallRelaxed
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-04-23:39:10,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,True,True,805973,211724,592236,3206,18856,1993,634,112786,24654,75939,12193,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-04-23:53:24,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,False,True,True,982542,232581,747816,3999,18604,2205,0,129012,24230,81588,11558,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-05-00:10:41,OutOfMemory-Xmx100g,MAD,POSTGRES_LOADER,0.01,1000000,False,True,True,True,,,,,,,,,,,,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-05-00:30:40,OutOfMemory-Xmx100g,MAD,POSTGRES_LOADER,0.01,1000000,False,False,True,True,,,,,,,,,,,,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-05-00:53:07,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,False,True,755168,200840,552328,2648,17912,2210,354,109835,0,97622,12210,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-05-01:06:28,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,False,False,True,1025457,233231,790129,3454,20381,2129,0,126145,0,101879,11754,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-05-01:24:21,OutOfMemory-Xmx100g,MAD,POSTGRES_LOADER,0.01,1000000,False,True,False,True,,,,,,,,,,,,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-05-01:44:20,OutOfMemory-Xmx100g,MAD,POSTGRES_LOADER,0.01,1000000,False,False,False,True,,,,,,,,,,,,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-05-02:05:44,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,True,False,2881193,215459,2663285,1859,19168,2077,709,114096,26106,0,11813,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-05-02:54:39,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,False,True,False,3065475,180683,2882205,2090,19872,2234,0,124446,23888,0,11526,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-05-03:46:44,Timeout 3600,MAD,POSTGRES_LOADER,0.01,1000000,False,True,True,False,,,,,,,,,,,,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-05-04:46:45,Timeout 3600,MAD,POSTGRES_LOADER,0.01,1000000,False,False,True,False,,,,,,,,,,,,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-05-05:46:46,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,False,False,3404946,222247,3180224,0,18181,1868,511,124249,0,0,10949,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-05-06:44:32,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,False,False,False,3399762,202956,3194298,0,18480,2358,0,127105,0,0,11091,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-05-07:42:10,Timeout 3600,MAD,POSTGRES_LOADER,0.01,1000000,False,True,False,False,,,,,,,,,,,,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-05-08:42:11,Timeout 3600,MAD,POSTGRES_LOADER,0.01,1000000,False,False,False,False,,,,,,,,,,,,,,,
