Query Name,ResultDir,exit_status,macrobase.analysis.transformType,macrobase.loader.loaderType,macrobase.analysis.contextual.denseContextTau,macrobase.analysis.contextual.numTuples,macrobase.analysis.contextual.pruning.triviality,macrobase.analysis.contextual.pruning.contextContainedInOutliers,macrobase.analysis.contextual.pruning.mad.noOutliers,macrobase.analysis.contextual.pruning.mad.containedOutliers,timeTotal,timeBuildLattice,timeDetectContextualOutliers,timeMADNoOutliersContainedOutliersPruned,numDensityPruning,numTrivialityPruning,numContextContainedInOutliersPruning,numContextsGenerated,numMadNoOutliers,numMadContainedOutliers,numContextsGeneratedWithMaximalOutliers,precision,recall,precisionRelaxed,recallRelaxed
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-06-00:43:06,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,True,True,265813,118468,146983,973,5542,32,304,101652,50352,51271,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-06-00:47:45,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,True,True,261174,120799,140021,832,5542,32,304,101652,53336,48287,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-06-00:52:19,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,True,True,259423,119497,139579,766,5542,32,304,101652,53339,48284,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-06-00:56:51,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,True,True,258552,115672,142358,748,5542,32,304,101652,53339,48284,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-06-01:01:22,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,True,True,262677,119121,143199,926,5542,32,304,101652,53339,48284,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-06-01:05:58,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,True,True,267717,112063,155278,822,5542,32,304,101652,53339,48284,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-06-01:10:38,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,True,True,279341,119894,159087,969,5542,32,304,101652,53339,48284,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-06-01:15:31,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,True,True,258514,122703,135473,666,5542,32,304,101652,53339,48284,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-06-01:20:01,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,True,True,265896,117848,147681,677,5542,32,304,101652,53339,48284,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-06-01:24:39,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,True,True,264647,113539,150755,712,5542,32,304,101652,53339,48284,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-06-01:29:16,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,True,True,254242,116481,137423,847,5542,32,304,101652,53339,48284,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-06-01:33:43,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,True,True,256718,117426,138916,933,5542,32,304,101652,53339,48284,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-06-01:38:24,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,True,True,264545,116318,147886,810,5542,32,304,101652,53339,48284,29,,,,
