Query Name,ResultDir,exit_status,macrobase.analysis.transformType,macrobase.loader.loaderType,macrobase.analysis.contextual.denseContextTau,macrobase.analysis.classify.outlierStaticThreshold,macrobase.analysis.contextual.numTuples,macrobase.analysis.contextual.pruning.triviality,macrobase.analysis.contextual.pruning.contextContainedInOutliers,macrobase.analysis.contextual.pruning.mad.noOutliers,macrobase.analysis.contextual.pruning.mad.containedOutliers,timeTotal,timeBuildLattice,timeDetectContextualOutliers,timeMADNoOutliersContainedOutliersPruned,numDensityPruning,numTrivialityPruning,numContextContainedInOutliersPruning,numContextsGenerated,numMadNoOutliers,numMadContainedOutliers,numContextsGeneratedWithMaximalOutliers,precision,recall,precisionRelaxed,recallRelaxed
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-08-08:53:38,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,True,True,True,True,25076,23340,1614,297,37319,808,47,97487,70585,26208,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-08-08:54:08,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,True,False,True,True,23333,21557,1685,311,37925,812,0,97746,70837,26215,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-08-08:54:36,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,False,True,True,True,29870,28184,1565,334,37319,0,47,140515,109676,30145,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-08-08:55:11,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,False,False,True,True,28240,25947,2182,315,37925,0,0,140989,110137,30158,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-08-08:55:45,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,True,True,False,True,25056,23126,1841,436,37319,808,47,97487,0,96792,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-08-08:56:15,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,True,False,False,True,23505,21462,1950,472,37925,812,0,97746,0,96915,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-08-08:56:44,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,False,True,False,True,29630,27616,1884,522,37319,0,47,140515,0,139820,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-08-08:57:18,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,False,False,False,True,29331,27112,2100,573,37925,0,0,140989,0,140012,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-08-08:57:53,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,True,True,True,False,44965,17784,27075,243,37319,808,47,97487,70585,0,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-08-08:58:43,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,True,False,True,False,41491,15831,25536,201,37925,812,0,97746,70837,0,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-08-08:59:30,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,False,True,True,False,50457,23824,26456,315,37319,0,47,140515,109676,0,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-08-09:00:26,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,False,False,True,False,51809,23784,27774,275,37925,0,0,140989,110137,0,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-08-09:01:22,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,True,True,False,False,85564,16872,68456,0,37319,808,47,97487,0,0,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-08-09:02:53,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,True,False,False,False,83922,17476,66283,0,37925,812,0,97746,0,0,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-08-09:04:22,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,False,True,False,False,110461,19590,90603,0,37319,0,47,140515,0,0,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-08-09:06:17,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,False,False,False,False,114140,19139,94756,0,37925,0,0,140989,0,0,694,,,,
