Query Name,ResultDir,exit_status,macrobase.analysis.transformType,macrobase.loader.loaderType,macrobase.analysis.contextual.denseContextTau,macrobase.analysis.classify.outlierStaticThreshold,macrobase.analysis.contextual.numTuples,macrobase.analysis.contextual.pruning.triviality,macrobase.analysis.contextual.pruning.contextContainedInOutliers,macrobase.analysis.contextual.pruning.mad.noOutliers,macrobase.analysis.contextual.pruning.mad.containedOutliers,timeTotal,timeBuildLattice,timeDetectContextualOutliers,timeMADNoOutliersContainedOutliersPruned,numDensityPruning,numTrivialityPruning,numContextContainedInOutliersPruning,numContextsGenerated,numMadNoOutliers,numMadContainedOutliers,numContextsGeneratedWithMaximalOutliers,precision,recall,precisionRelaxed,recallRelaxed
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-08-08:51:05,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,True,True,True,True,254651,242587,11891,1062,5542,32,304,101652,53336,48287,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-08-08:55:33,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,True,False,True,True,367303,287318,79778,957,7889,57,0,127652,73463,48289,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-08-09:01:53,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,False,True,True,True,245872,231532,14178,784,5542,0,305,104011,54857,49125,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-08-09:06:12,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,False,False,True,True,369179,281215,87786,925,7889,0,0,133064,77036,49127,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-08-09:12:34,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,True,True,False,True,261733,246250,15348,756,5542,32,304,101652,0,101618,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-08-09:17:09,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,True,False,False,True,441321,260679,180425,1491,7889,57,0,127652,0,104261,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-08-09:24:43,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,False,True,False,True,250682,234995,15491,1100,5542,0,305,104011,0,103977,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-08-09:29:06,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,False,False,False,True,443517,252440,190886,1247,7889,0,0,133064,0,106742,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-08-09:36:43,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,True,True,True,False,1106707,200561,905875,580,5542,32,304,101652,53336,0,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-08-09:55:23,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,True,False,True,False,1133908,240409,893148,672,7889,57,0,127652,73463,0,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-08-10:14:30,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,False,True,True,False,1067646,172464,894913,631,5542,0,305,104011,54857,0,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-08-10:32:31,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,False,False,True,False,1189699,227049,962379,754,7889,0,0,133064,77036,0,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-08-10:52:44,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,True,True,False,False,1737625,183556,1553729,0,5542,32,304,101652,0,0,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-08-11:21:55,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,True,False,False,False,2046931,250088,1796257,0,7889,57,0,127652,0,0,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-08-11:56:16,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,False,True,False,False,1720422,181595,1538441,0,5542,0,305,104011,0,0,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-08-12:25:10,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,False,False,False,False,1853498,197018,1655988,0,7889,0,0,133064,0,0,29,,,,
