Query Name,ResultDir,exit_status,macrobase.analysis.transformType,macrobase.loader.loaderType,macrobase.analysis.contextual.denseContextTau,macrobase.analysis.classify.outlierStaticThreshold,macrobase.analysis.contextual.numTuples,macrobase.analysis.contextual.pruning.triviality,macrobase.analysis.contextual.pruning.contextContainedInOutliers,macrobase.analysis.contextual.pruning.mad.noOutliers,macrobase.analysis.contextual.pruning.mad.containedOutliers,timeTotal,timeBuildLattice,timeDetectContextualOutliers,timeMADNoOutliersContainedOutliersPruned,numDensityPruning,numTrivialityPruning,numContextContainedInOutliersPruning,numContextsGenerated,numMadNoOutliers,numMadContainedOutliers,numContextsGeneratedWithMaximalOutliers,precision,recall,precisionRelaxed,recallRelaxed
campaign_expenditures1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures1000000/11-08-08:51:05,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,True,True,True,True,74691,48557,26093,140,7317,715,38,8596,2566,5746,284,,,,
campaign_expenditures1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures1000000/11-08-08:54:15,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,True,False,True,True,92978,59366,33572,128,7354,736,0,8958,2928,5746,284,,,,
campaign_expenditures1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures1000000/11-08-08:57:44,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,False,True,True,True,286140,264426,21557,1375,7317,0,42,98988,25955,72749,284,,,,
campaign_expenditures1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures1000000/11-08-09:04:20,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,False,False,True,True,287015,271178,15706,1293,7354,0,0,101776,28742,72749,284,,,,
campaign_expenditures1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures1000000/11-08-09:11:04,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,True,True,False,True,66120,52427,13657,257,7317,715,38,8596,0,8309,284,,,,
campaign_expenditures1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures1000000/11-08-09:14:00,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,True,False,False,True,72862,54497,18321,370,7354,736,0,8958,0,8309,284,,,,
campaign_expenditures1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures1000000/11-08-09:17:06,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,False,True,False,True,297595,267162,30295,1191,7317,0,42,98988,0,98701,284,,,,
campaign_expenditures1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures1000000/11-08-09:23:50,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,False,False,False,True,312096,259157,52776,1167,7354,0,0,101776,0,98701,284,,,,
campaign_expenditures1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures1000000/11-08-09:30:58,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,True,True,True,False,258426,58011,200349,104,7317,715,38,8596,2566,0,284,,,,
campaign_expenditures1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures1000000/11-08-09:36:58,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,True,False,True,False,197356,48196,149114,101,7354,736,0,8958,2928,0,284,,,,
campaign_expenditures1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures1000000/11-08-09:42:07,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,False,True,True,False,1397957,182537,1215136,807,7317,0,42,98988,25955,0,284,,,,
campaign_expenditures1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures1000000/11-08-10:07:21,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,False,False,True,False,1497802,252957,1244509,787,7354,0,0,101776,28742,0,284,,,,
campaign_expenditures1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures1000000/11-08-10:34:05,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,True,True,False,False,274237,37665,236510,0,7317,715,38,8596,0,0,284,,,,
campaign_expenditures1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures1000000/11-08-10:40:33,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,True,False,False,False,225664,36320,189262,0,7354,736,0,8958,0,0,284,,,,
campaign_expenditures1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures1000000/11-08-10:46:06,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,False,True,False,False,1747675,235109,1512097,0,7317,0,42,98988,0,0,284,,,,
campaign_expenditures1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures1000000/11-08-11:17:22,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,False,False,False,False,1767263,259398,1507500,0,7354,0,0,101776,0,0,284,,,,
