Query Name,ResultDir,exit_status,macrobase.analysis.transformType,macrobase.loader.loaderType,macrobase.analysis.contextual.denseContextTau,macrobase.analysis.classify.outlierStaticThreshold,macrobase.analysis.contextual.numTuples,macrobase.analysis.contextual.pruning.triviality,macrobase.analysis.contextual.pruning.contextContainedInOutliers,macrobase.analysis.contextual.pruning.mad.noOutliers,macrobase.analysis.contextual.pruning.mad.containedOutliers,timeTotal,timeBuildLattice,timeDetectContextualOutliers,timeMADNoOutliersContainedOutliersPruned,numDensityPruning,numTrivialityPruning,numContextContainedInOutliersPruning,numContextsGenerated,numMadNoOutliers,numMadContainedOutliers,numContextsGeneratedWithMaximalOutliers,precision,recall,precisionRelaxed,recallRelaxed
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-08-08:51:05,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,True,True,True,True,568876,238958,329549,2224,14362,1512,443,72224,8332,54201,9691,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-08-09:01:26,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,True,False,True,True,685862,249742,435729,2443,13807,1472,0,78795,10419,53735,10074,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-08-09:13:39,OutOfMemory-Xmx100g,MAD,POSTGRES_LOADER,0.01,5,1000000,False,True,True,True,,,,,,,,,,,,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-08-09:31:37,OutOfMemory-Xmx100g,MAD,POSTGRES_LOADER,0.01,5,1000000,False,False,True,True,,,,,,,,,,,,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-08-09:50:22,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,True,True,False,True,466976,200430,266224,1635,14905,1730,232,67588,0,58943,8645,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-08-09:58:57,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,True,False,False,True,600230,235311,364526,1875,15553,1700,0,70594,0,58609,9277,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-08-10:09:45,OutOfMemory-Xmx100g,MAD,POSTGRES_LOADER,0.01,5,1000000,False,True,False,True,,,,,,,,,,,,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-08-10:28:52,OutOfMemory-Xmx100g,MAD,POSTGRES_LOADER,0.01,5,1000000,False,False,False,True,,,,,,,,,,,,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-08-10:46:25,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,True,True,True,False,1977092,209506,1766922,1292,13524,1605,294,71884,9231,0,8880,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-08-11:20:16,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,True,False,True,False,2154474,226945,1926701,1285,13721,1535,0,77263,8273,0,9394,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-08-11:57:07,OutOfMemory-Xmx100g,MAD,POSTGRES_LOADER,0.01,5,1000000,False,True,True,False,,,,,,,,,,,,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-08-13:22:48,OutOfMemory-Xmx100g,MAD,POSTGRES_LOADER,0.01,5,1000000,False,False,True,False,,,,,,,,,,,,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-08-14:53:18,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,True,True,False,False,2424597,221705,2202086,0,14189,1497,550,76183,0,0,9389,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-08-15:34:40,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,True,False,False,False,2012848,201803,1810242,0,14790,1552,0,76989,0,0,9479,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-08-16:09:06,OutOfMemory-Xmx100g,MAD,POSTGRES_LOADER,0.01,5,1000000,False,True,False,False,,,,,,,,,,,,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-08-17:48:15,OutOfMemory-Xmx100g,MAD,POSTGRES_LOADER,0.01,5,1000000,False,False,False,False,,,,,,,,,,,,,,,
