TrialID	Time	LatticeTime	DetectTime	NumGeneratedContexts	NumMADNoOutlier	NumContextsWithMaximalOutliers
1	1566	51.0	1498.0	1.0	0.0	1.0
2	1432	392.0	1033.0	1.0	0.0	1.0
3	8652	8643.0	5.0	255.0	255.0	0.0
4	2844	2831.0	4.0	796.0	796.0	0.0
5	2699	2683.0	4.0	570.0	570.0	0.0
6	1588	1575.0	2.0	146.0	146.0	0.0
7	1525	1504.0	12.0	303.0	303.0	0.0
8	1439	1424.0	5.0	234.0	234.0	0.0
9	2638	2630.0	6.0	877.0	877.0	0.0
10	1984	1974.0	5.0	493.0	493.0	0.0
11	649	22.0	624.0	1.0	0.0	1.0
12	1159	1150.0	6.0	419.0	419.0	0.0
13	2152	2145.0	2.0	513.0	513.0	0.0
14	660	49.0	610.0	1.0	0.0	1.0
15	860	855.0	3.0	176.0	176.0	0.0
16	2691	2661.0	28.0	851.0	851.0	0.0
17	632	22.0	609.0	1.0	0.0	1.0
18	660	54.0	604.0	1.0	0.0	1.0
19	1191	1188.0	1.0	200.0	200.0	0.0
20	627	24.0	601.0	1.0	0.0	1.0
21	705	23.0	680.0	1.0	0.0	1.0
22	720	28.0	690.0	1.0	0.0	1.0
23	1168	1164.0	1.0	255.0	255.0	0.0
24	1406	1405.0	1.0	219.0	219.0	0.0
25	855	22.0	832.0	1.0	0.0	1.0
26	2575	2568.0	1.0	897.0	897.0	0.0
27	742	733.0	9.0	151.0	151.0	0.0
28	1932	1928.0	2.0	295.0	295.0	0.0
29	1900	1895.0	4.0	503.0	503.0	0.0
30	627	22.0	602.0	1.0	0.0	1.0
31	863	78.0	784.0	1.0	0.0	1.0
32	1559	1547.0	8.0	247.0	247.0	0.0
33	869	22.0	844.0	1.0	0.0	1.0
34	623	22.0	599.0	1.0	0.0	1.0
35	1752	1726.0	21.0	551.0	551.0	0.0
36	576	571.0	1.0	165.0	165.0	0.0
37	2131	2124.0	3.0	549.0	549.0	0.0
38	1390	1382.0	6.0	444.0	444.0	0.0
39	2406	2397.0	4.0	877.0	877.0	0.0
40	753	752.0	0.0	118.0	118.0	0.0
41	1718	1709.0	7.0	374.0	374.0	0.0
42	2568	2564.0	3.0	395.0	395.0	0.0
43	657	27.0	628.0	1.0	0.0	1.0
