TrialID	Time	LatticeTime	DetectTime	NumGeneratedContexts	NumMADNoOutlier	NumContextsWithMaximalOutliers
1	24499	24386.0	63.0	4110.0	4110.0	0.0
2	1835	1809.0	11.0	896.0	896.0	0.0
3	9855	9606.0	219.0	2590.0	2583.0	7.0
4	1386	28.0	1354.0	1.0	0.0	1.0
5	31423	31286.0	63.0	6332.0	6332.0	0.0
6	2913	771.0	2134.0	202.0	189.0	13.0
7	1670	1336.0	322.0	539.0	531.0	8.0
8	2969	2832.0	122.0	1260.0	1248.0	12.0
9	4709	4684.0	11.0	1971.0	1971.0	0.0
10	1089	913.0	169.0	353.0	350.0	3.0
11	1115	28.0	1082.0	1.0	0.0	1.0
12	1109	1071.0	32.0	471.0	468.0	3.0
13	23030	16780.0	6200.0	3758.0	3715.0	43.0
14	6747	6704.0	20.0	3739.0	3739.0	0.0
15	3900	2371.0	1515.0	843.0	830.0	13.0
16	3139	2311.0	815.0	1241.0	1229.0	12.0
17	2400	2267.0	122.0	1390.0	1389.0	1.0
18	1126	29.0	1094.0	1.0	0.0	1.0
19	1118	28.0	1086.0	1.0	0.0	1.0
20	2365	2049.0	305.0	1247.0	1246.0	1.0
21	10987	8229.0	2741.0	1506.0	1492.0	14.0
22	1126	28.0	1093.0	1.0	0.0	1.0
23	1646	926.0	712.0	349.0	342.0	7.0
24	14240	12607.0	1616.0	2285.0	2272.0	13.0
25	6475	6246.0	216.0	1397.0	1394.0	3.0
26	1019	949.0	65.0	435.0	431.0	4.0
27	16262	13198.0	3046.0	3074.0	3056.0	18.0
28	2809	2659.0	143.0	849.0	847.0	2.0
29	24810	24735.0	42.0	6274.0	6274.0	0.0
30	1225	1211.0	5.0	642.0	642.0	0.0
31	14867	14814.0	34.0	5982.0	5982.0	0.0
32	1649	640.0	1004.0	204.0	194.0	10.0
33	472	387.0	79.0	165.0	162.0	3.0
34	16769	16325.0	426.0	3382.0	3378.0	4.0
35	12312	12242.0	43.0	3582.0	3581.0	1.0
36	3264	2939.0	291.0	1562.0	1557.0	5.0
37	1719	1283.0	426.0	643.0	634.0	9.0
38	12908	12870.0	23.0	3929.0	3929.0	0.0
39	1732	1726.0	2.0	1005.0	1005.0	0.0
40	3162	2842.0	314.0	1264.0	1263.0	1.0
41	24952	24862.0	62.0	6332.0	6332.0	0.0
42	22419	22340.0	48.0	6139.0	6139.0	0.0
43	1132	27.0	1101.0	1.0	0.0	1.0
44	1791	1601.0	183.0	611.0	604.0	7.0
45	18845	17568.0	1250.0	5703.0	5698.0	5.0
46	1068	1059.0	5.0	555.0	555.0	0.0
47	1119	29.0	1086.0	1.0	0.0	1.0
48	10356	10305.0	36.0	2730.0	2730.0	0.0
49	19092	16352.0	2723.0	3694.0	3680.0	14.0
50	12035	10273.0	1742.0	1905.0	1863.0	42.0
51	9347	7788.0	1553.0	1720.0	1700.0	20.0
