TrialID	Time	LatticeTime	DetectTime	NumGeneratedContexts	NumMADNoOutlier	NumContextsWithMaximalOutliers
1	1548	56.0	1475.0	1.0	0.0	1.0
2	1288	28.0	1251.0	1.0	0.0	1.0
3	11497	22.0	11464.0	1.0	0.0	1.0
4	5808	4711.0	1084.0	268.0	265.0	3.0
5	794	23.0	764.0	1.0	0.0	1.0
6	4370	4351.0	10.0	726.0	726.0	0.0
7	5848	5827.0	13.0	1468.0	1468.0	0.0
8	4183	4170.0	10.0	1007.0	1007.0	0.0
9	5605	5585.0	10.0	1673.0	1673.0	0.0
10	2204	2197.0	0.0	275.0	275.0	0.0
11	4153	4142.0	6.0	605.0	605.0	0.0
12	4927	4914.0	4.0	758.0	758.0	0.0
13	751	30.0	716.0	1.0	0.0	1.0
14	3479	3457.0	10.0	747.0	747.0	0.0
15	3469	3445.0	18.0	453.0	453.0	0.0
16	722	31.0	690.0	1.0	0.0	1.0
17	988	975.0	11.0	274.0	274.0	0.0
18	2582	2578.0	2.0	640.0	640.0	0.0
19	1887	1826.0	56.0	419.0	419.0	0.0
20	3455	3440.0	8.0	379.0	379.0	0.0
21	2335	2314.0	17.0	515.0	515.0	0.0
22	4012	4002.0	4.0	884.0	884.0	0.0
23	765	22.0	740.0	1.0	0.0	1.0
24	4615	4597.0	11.0	1022.0	1022.0	0.0
25	3569	3556.0	7.0	565.0	565.0	0.0
26	3166	3155.0	6.0	480.0	480.0	0.0
27	774	31.0	742.0	1.0	0.0	1.0
28	2776	2768.0	3.0	769.0	769.0	0.0
29	750	23.0	724.0	1.0	0.0	1.0
30	4037	3997.0	37.0	629.0	629.0	0.0
31	808	40.0	767.0	1.0	0.0	1.0
32	10599	10594.0	3.0	500.0	500.0	0.0
33	1269	1265.0	1.0	357.0	357.0	0.0
34	1693	1668.0	22.0	379.0	379.0	0.0
35	4120	4111.0	5.0	737.0	737.0	0.0
36	3484	3473.0	4.0	905.0	905.0	0.0
37	3873	468.0	3398.0	48.0	35.0	13.0
38	3464	3453.0	6.0	662.0	662.0	0.0
39	1060	1054.0	4.0	313.0	313.0	0.0
40	3815	3799.0	5.0	1044.0	1044.0	0.0
41	1647	1640.0	4.0	286.0	286.0	0.0
42	780	767.0	9.0	191.0	191.0	0.0
43	753	22.0	730.0	1.0	0.0	1.0
44	2606	2517.0	86.0	752.0	752.0	0.0
45	1395	1266.0	127.0	290.0	289.0	1.0
46	3306	3301.0	3.0	435.0	435.0	0.0
47	3687	3678.0	3.0	940.0	940.0	0.0
48	666	23.0	641.0	1.0	0.0	1.0
49	666	23.0	642.0	1.0	0.0	1.0
50	2746	2742.0	3.0	531.0	531.0	0.0
51	2014	2009.0	3.0	470.0	470.0	0.0
52	1505	1498.0	2.0	265.0	265.0	0.0
53	1989	1986.0	0.0	326.0	326.0	0.0
54	1247	1242.0	2.0	297.0	297.0	0.0
55	3555	3551.0	3.0	764.0	764.0	0.0
56	839	22.0	815.0	1.0	0.0	1.0
57	1266	1265.0	0.0	290.0	290.0	0.0
58	3690	3683.0	4.0	804.0	804.0	0.0
59	2146	2142.0	1.0	404.0	404.0	0.0
60	721	30.0	689.0	1.0	0.0	1.0
61	2152	2146.0	2.0	569.0	569.0	0.0
62	2028	2023.0	1.0	413.0	413.0	0.0
63	4189	4155.0	25.0	1019.0	1017.0	2.0
64	4009	4000.0	2.0	1234.0	1234.0	0.0
65	1979	1972.0	3.0	428.0	428.0	0.0
66	1190	1187.0	1.0	337.0	337.0	0.0
67	3595	3587.0	5.0	760.0	760.0	0.0
68	1112	1108.0	1.0	295.0	295.0	0.0
69	772	25.0	746.0	1.0	0.0	1.0
70	3598	3582.0	13.0	1046.0	1046.0	0.0
71	652	23.0	627.0	1.0	0.0	1.0
72	865	862.0	0.0	163.0	163.0	0.0
73	843	26.0	816.0	1.0	0.0	1.0
74	1570	309.0	1259.0	36.0	33.0	3.0
75	2106	936.0	1169.0	193.0	189.0	4.0
76	646	23.0	622.0	1.0	0.0	1.0
77	3982	3976.0	3.0	1115.0	1115.0	0.0
