TrialID	Time	LatticeTime	DetectTime	NumGeneratedContexts	NumMADNoOutlier	NumContextsWithMaximalOutliers
1	501	278.0	211.0	815.0	795.0	20.0
2	470	452.0	8.0	2369.0	2369.0	0.0
3	425	402.0	16.0	2425.0	2424.0	1.0
4	207	202.0	1.0	1445.0	1445.0	0.0
5	437	419.0	10.0	2411.0	2411.0	0.0
6	214	211.0	1.0	1422.0	1422.0	0.0
7	455	438.0	10.0	2966.0	2966.0	0.0
8	210	180.0	22.0	1540.0	1527.0	13.0
9	301	288.0	5.0	2406.0	2406.0	0.0
10	378	359.0	7.0	2826.0	2826.0	0.0
11	503	482.0	10.0	3413.0	3413.0	0.0
12	418	400.0	10.0	2650.0	2649.0	1.0
13	208	204.0	3.0	1347.0	1347.0	0.0
14	469	445.0	15.0	3116.0	3116.0	0.0
15	238	164.0	70.0	645.0	629.0	16.0
16	313	306.0	1.0	2157.0	2157.0	0.0
17	171	167.0	2.0	892.0	892.0	0.0
18	149	147.0	1.0	892.0	892.0	0.0
19	66	64.0	2.0	389.0	389.0	0.0
20	568	556.0	8.0	3823.0	3823.0	0.0
21	810	789.0	13.0	7694.0	7694.0	0.0
22	64	57.0	4.0	418.0	417.0	1.0
23	54	52.0	0.0	216.0	216.0	0.0
24	366	353.0	7.0	2850.0	2850.0	0.0
25	262	224.0	34.0	1456.0	1451.0	5.0
26	92	89.0	3.0	617.0	616.0	1.0
27	127	112.0	15.0	707.0	703.0	4.0
28	273	264.0	5.0	1824.0	1824.0	0.0
29	142	104.0	31.0	537.0	528.0	9.0
30	51	49.0	1.0	392.0	392.0	0.0
31	590	571.0	13.0	4349.0	4349.0	0.0
32	270	265.0	1.0	2029.0	2029.0	0.0
33	119	115.0	2.0	843.0	843.0	0.0
34	409	372.0	31.0	2957.0	2956.0	1.0
35	346	340.0	4.0	2321.0	2321.0	0.0
36	134	128.0	4.0	1008.0	1008.0	0.0
37	616	601.0	10.0	3918.0	3918.0	0.0
38	1399	1382.0	11.0	3313.0	3313.0	0.0
39	52	41.0	9.0	353.0	352.0	1.0
40	113	112.0	1.0	853.0	853.0	0.0
41	65	49.0	15.0	360.0	359.0	1.0
42	195	193.0	1.0	1336.0	1335.0	1.0
43	255	251.0	0.0	1636.0	1636.0	0.0
44	323	315.0	7.0	2020.0	2020.0	0.0
