TrialID	Time	LatticeTime	DetectTime	NumGeneratedContexts	NumMADNoOutlier	NumContextsWithMaximalOutliers
1	9364	9314.0	26.0	2789.0	2789.0	0.0
2	755	29.0	716.0	1.0	0.0	1.0
3	8085	8054.0	17.0	2660.0	2660.0	0.0
4	19816	19778.0	13.0	6285.0	6285.0	0.0
5	17339	17312.0	9.0	4298.0	4298.0	0.0
6	23728	23495.0	198.0	5902.0	5901.0	1.0
7	464	28.0	430.0	1.0	0.0	1.0
8	19627	19583.0	17.0	7149.0	7149.0	0.0
9	454	25.0	425.0	1.0	0.0	1.0
10	359	22.0	331.0	1.0	0.0	1.0
11	18668	18620.0	9.0	6608.0	6608.0	0.0
12	12422	12394.0	15.0	5892.0	5892.0	0.0
13	16941	16902.0	17.0	6518.0	6518.0	0.0
14	380	30.0	345.0	1.0	0.0	1.0
15	499	22.0	471.0	1.0	0.0	1.0
16	363	22.0	332.0	1.0	0.0	1.0
17	5212	5204.0	4.0	955.0	955.0	0.0
18	16294	16258.0	19.0	7604.0	7604.0	0.0
19	498	22.0	469.0	1.0	0.0	1.0
20	10626	10606.0	11.0	4999.0	4999.0	0.0
21	27331	27284.0	29.0	8192.0	8192.0	0.0
22	420	30.0	382.0	1.0	0.0	1.0
23	12557	12527.0	14.0	4146.0	4146.0	0.0
24	10202	10174.0	15.0	4257.0	4257.0	0.0
25	12947	12929.0	6.0	4026.0	4026.0	0.0
26	12044	12022.0	13.0	4263.0	4263.0	0.0
27	5286	5279.0	2.0	2036.0	2036.0	0.0
28	367	23.0	333.0	1.0	0.0	1.0
29	358	22.0	331.0	1.0	0.0	1.0
30	11217	11187.0	15.0	5695.0	5695.0	0.0
31	8752	8727.0	13.0	3923.0	3921.0	2.0
32	14084	13952.0	120.0	4869.0	4868.0	1.0
33	363	22.0	332.0	1.0	0.0	1.0
34	361	22.0	332.0	1.0	0.0	1.0
35	15937	15915.0	13.0	7337.0	7337.0	0.0
36	359	22.0	332.0	1.0	0.0	1.0
37	2838	2832.0	2.0	1754.0	1754.0	0.0
38	11658	11638.0	13.0	4413.0	4413.0	0.0
39	12175	12142.0	14.0	5780.0	5780.0	0.0
40	10564	10476.0	79.0	4252.0	4250.0	2.0
41	9776	9532.0	234.0	4147.0	4142.0	5.0
42	15349	15133.0	200.0	5269.0	5266.0	3.0
43	33519	33479.0	19.0	8192.0	8192.0	0.0
44	8665	8444.0	216.0	2652.0	2648.0	4.0
45	359	22.0	331.0	1.0	0.0	1.0
46	372	22.0	340.0	1.0	0.0	1.0
47	16188	16141.0	24.0	6182.0	6182.0	0.0
48	374	23.0	344.0	1.0	0.0	1.0
49	546	23.0	333.0	1.0	0.0	1.0
50	363	22.0	335.0	1.0	0.0	1.0
51	17202	17056.0	135.0	5701.0	5700.0	1.0
52	19000	18951.0	28.0	8150.0	8150.0	0.0
53	373	23.0	350.0	1.0	0.0	1.0
54	8111	8061.0	10.0	4136.0	4136.0	0.0
55	389	29.0	352.0	1.0	0.0	1.0
56	391	23.0	360.0	1.0	0.0	1.0
57	428	30.0	392.0	1.0	0.0	1.0
58	32443	32402.0	24.0	8192.0	8192.0	0.0
59	34601	34561.0	23.0	8192.0	8192.0	0.0
60	9490	9468.0	12.0	5464.0	5464.0	0.0
61	15172	15144.0	15.0	5800.0	5800.0	0.0
62	9582	9565.0	10.0	3368.0	3368.0	0.0
63	407	26.0	373.0	1.0	0.0	1.0
64	402	28.0	369.0	1.0	0.0	1.0
65	17148	17118.0	16.0	7337.0	7337.0	0.0
66	14784	14765.0	10.0	5704.0	5704.0	0.0
67	373	22.0	342.0	1.0	0.0	1.0
68	364	22.0	335.0	1.0	0.0	1.0
69	22462	22421.0	30.0	7995.0	7995.0	0.0
70	11596	11565.0	20.0	4968.0	4968.0	0.0
71	368	22.0	339.0	1.0	0.0	1.0
72	12009	11976.0	17.0	5319.0	5319.0	0.0
73	8474	8466.0	4.0	4111.0	4111.0	0.0
74	19648	19612.0	25.0	7182.0	7182.0	0.0
75	12050	12031.0	11.0	3975.0	3975.0	0.0
76	10606	10511.0	83.0	4444.0	4442.0	2.0
77	5712	5701.0	7.0	3110.0	3110.0	0.0
78	13279	13256.0	11.0	5375.0	5375.0	0.0
79	19975	19808.0	142.0	6440.0	6440.0	0.0
80	394	21.0	365.0	1.0	0.0	1.0
81	12075	12045.0	16.0	5321.0	5321.0	0.0
82	19552	19513.0	16.0	4298.0	4298.0	0.0
83	9812	9734.0	65.0	3958.0	3958.0	0.0
84	8105	8073.0	24.0	2196.0	2196.0	0.0
85	9342	9313.0	24.0	2866.0	2865.0	1.0
86	431	22.0	401.0	1.0	0.0	1.0
87	15985	15950.0	18.0	7604.0	7604.0	0.0
88	8666	8644.0	12.0	3806.0	3806.0	0.0
89	12298	12261.0	22.0	5730.0	5730.0	0.0
90	9989	9841.0	137.0	4751.0	4750.0	1.0
91	424	22.0	398.0	1.0	0.0	1.0
92	4934	4918.0	7.0	3038.0	3038.0	0.0
93	9115	9099.0	8.0	3958.0	3958.0	0.0
94	427	22.0	398.0	1.0	0.0	1.0
95	6912	6893.0	10.0	3603.0	3603.0	0.0
96	423	22.0	396.0	1.0	0.0	1.0
97	14724	14700.0	11.0	5065.0	5065.0	0.0
98	481	30.0	443.0	1.0	0.0	1.0
99	474	30.0	439.0	1.0	0.0	1.0
100	15990	15955.0	25.0	5945.0	5945.0	0.0
101	6592	6572.0	9.0	2767.0	2767.0	0.0
102	25377	25325.0	31.0	8192.0	8192.0	0.0
103	19507	19341.0	146.0	5701.0	5700.0	1.0
104	12993	12821.0	163.0	5345.0	5344.0	1.0
105	8025	8007.0	10.0	3332.0	3332.0	0.0
106	431	24.0	400.0	1.0	0.0	1.0
107	471	23.0	438.0	1.0	0.0	1.0
108	21416	21374.0	27.0	7995.0	7995.0	0.0
109	478	22.0	450.0	1.0	0.0	1.0
110	31915	31873.0	31.0	8192.0	8192.0	0.0
111	424	22.0	392.0	1.0	0.0	1.0
112	474	23.0	446.0	1.0	0.0	1.0
113	23718	23669.0	22.0	8192.0	8192.0	0.0
114	512	30.0	480.0	1.0	0.0	1.0
115	515	29.0	477.0	1.0	0.0	1.0
116	6400	6368.0	22.0	3208.0	3207.0	1.0
117	396	22.0	374.0	1.0	0.0	1.0
118	477	22.0	445.0	1.0	0.0	1.0
119	491	30.0	454.0	1.0	0.0	1.0
120	433	31.0	395.0	1.0	0.0	1.0
121	425	23.0	393.0	1.0	0.0	1.0
122	423	22.0	391.0	1.0	0.0	1.0
123	5808	5765.0	37.0	2954.0	2952.0	2.0
124	11985	11959.0	20.0	6665.0	6665.0	0.0
125	418	22.0	391.0	1.0	0.0	1.0
126	4937	4836.0	96.0	2645.0	2641.0	4.0
127	431	27.0	395.0	1.0	0.0	1.0
128	25178	25139.0	25.0	8075.0	8075.0	0.0
129	465	22.0	435.0	1.0	0.0	1.0
130	6148	6131.0	10.0	2771.0	2771.0	0.0
131	492	30.0	455.0	1.0	0.0	1.0
132	13672	13504.0	154.0	4622.0	4621.0	1.0
133	415	22.0	384.0	1.0	0.0	1.0
134	415	22.0	383.0	1.0	0.0	1.0
135	10057	9884.0	164.0	3690.0	3688.0	2.0
136	21288	21258.0	19.0	4357.0	4357.0	0.0
137	506	30.0	467.0	1.0	0.0	1.0
138	500	31.0	461.0	1.0	0.0	1.0
139	497	30.0	461.0	1.0	0.0	1.0
140	15962	15931.0	22.0	6566.0	6566.0	0.0
141	418	22.0	387.0	1.0	0.0	1.0
142	6039	6024.0	10.0	3098.0	3098.0	0.0
143	23452	23418.0	23.0	8192.0	8192.0	0.0
144	501	30.0	461.0	1.0	0.0	1.0
145	433	31.0	397.0	1.0	0.0	1.0
146	22100	22052.0	30.0	8159.0	8159.0	0.0
147	419	22.0	390.0	1.0	0.0	1.0
148	6677	6666.0	5.0	3017.0	3017.0	0.0
149	464	30.0	425.0	1.0	0.0	1.0
150	31908	31858.0	34.0	8192.0	8192.0	0.0
151	23730	23692.0	24.0	8192.0	8192.0	0.0
152	12708	12670.0	25.0	4972.0	4971.0	1.0
153	8798	8662.0	130.0	2861.0	2860.0	1.0
154	418	22.0	389.0	1.0	0.0	1.0
155	23172	23061.0	89.0	7354.0	7354.0	0.0
156	9040	8999.0	30.0	3230.0	3230.0	0.0
157	14919	14895.0	17.0	4971.0	4971.0	0.0
158	564	31.0	527.0	1.0	0.0	1.0
159	11167	11144.0	16.0	4489.0	4489.0	0.0
160	33751	33693.0	36.0	8192.0	8192.0	0.0
161	26444	26375.0	42.0	8048.0	8048.0	0.0
162	15734	15699.0	19.0	6608.0	6608.0	0.0
163	12425	12402.0	12.0	4116.0	4116.0	0.0
164	383	22.0	355.0	1.0	0.0	1.0
165	425	21.0	395.0	1.0	0.0	1.0
166	464	30.0	425.0	1.0	0.0	1.0
167	17694	17660.0	24.0	7149.0	7149.0	0.0
168	25309	25272.0	23.0	8192.0	8192.0	0.0
169	13437	13283.0	146.0	5281.0	5280.0	1.0
170	6190	6157.0	27.0	2175.0	2172.0	3.0
171	11395	11359.0	20.0	5319.0	5319.0	0.0
172	24079	24045.0	20.0	7113.0	7113.0	0.0
173	5105	5089.0	11.0	2472.0	2472.0	0.0
174	384	22.0	354.0	1.0	0.0	1.0
175	24236	24202.0	20.0	7354.0	7354.0	0.0
176	12712	12564.0	142.0	5345.0	5344.0	1.0
177	24508	24460.0	31.0	8159.0	8159.0	0.0
178	407	27.0	371.0	1.0	0.0	1.0
179	10254	10234.0	7.0	3389.0	3389.0	0.0
180	6852	6836.0	10.0	3262.0	3262.0	0.0
181	383	23.0	353.0	1.0	0.0	1.0
182	3830	3818.0	8.0	2121.0	2121.0	0.0
183	1014	30.0	978.0	1.0	0.0	1.0
