Query Name,ResultDir,exit_status,macrobase.analysis.transformType,macrobase.loader.loaderType,macrobase.analysis.contextual.denseContextTau,macrobase.analysis.classify.outlierStaticThreshold,macrobase.analysis.contextual.numTuples,macrobase.analysis.contextual.pruning.triviality,macrobase.analysis.contextual.pruning.contextContainedInOutliers,macrobase.analysis.contextual.pruning.mad.noOutliers,macrobase.analysis.contextual.pruning.mad.containedOutliers,timeTotal,timeBuildLattice,timeDetectContextualOutliers,timeMADNoOutliersContainedOutliersPruned,numDensityPruning,numTrivialityPruning,numContextContainedInOutliersPruning,numContextsGenerated,numMadNoOutliers,numMadContainedOutliers,numContextsGeneratedWithMaximalOutliers,precision,recall,precisionRelaxed,recallRelaxed
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-11-00:48:42,Completed,MAD,POSTGRES_LOADER,0.01,3,1000000,True,True,True,True,11898,10282,1556,167,24024,129,77,34778,23478,10431,869,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-11-00:48:59,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,True,True,True,True,12275,11008,1225,134,24436,129,40,34867,25806,8505,556,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-11-00:49:16,Completed,MAD,POSTGRES_LOADER,0.01,7,1000000,True,True,True,True,11267,10778,432,134,24695,129,16,34913,32530,2301,82,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-11-00:49:33,Completed,MAD,POSTGRES_LOADER,0.01,9,1000000,True,True,True,True,11812,11342,397,107,24695,129,16,34913,32532,2301,80,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-11-00:49:50,Completed,MAD,POSTGRES_LOADER,0.01,11,1000000,True,True,True,True,10502,10043,410,142,24695,129,16,34913,32536,2301,76,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-11-00:50:05,Completed,MAD,POSTGRES_LOADER,0.01,20,1000000,True,True,True,True,10570,10083,436,98,24695,129,16,34913,32551,2294,68,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-11-00:50:21,Completed,MAD,POSTGRES_LOADER,0.01,30,1000000,True,True,True,True,10992,10593,354,94,24695,129,16,34913,32551,2294,68,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-11-00:50:37,Completed,MAD,POSTGRES_LOADER,0.01,40,1000000,True,True,True,True,10847,10408,394,125,24695,129,16,34913,32551,2294,68,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-11-00:50:53,Completed,MAD,POSTGRES_LOADER,0.01,50,1000000,True,True,True,True,11000,10564,399,129,24695,129,16,34913,32551,2294,68,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-11-00:51:09,Completed,MAD,POSTGRES_LOADER,0.01,60,1000000,True,True,True,True,10677,10246,381,105,24695,129,16,34913,32551,2294,68,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-11-00:51:24,Completed,MAD,POSTGRES_LOADER,0.01,70,1000000,True,True,True,True,10690,10278,361,101,24695,129,16,34913,32551,2294,68,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-11-00:51:40,Completed,MAD,POSTGRES_LOADER,0.01,80,1000000,True,True,True,True,10936,10471,416,96,24695,129,16,34913,32551,2294,68,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-11-00:51:56,Completed,MAD,POSTGRES_LOADER,0.01,90,1000000,True,True,True,True,11271,10837,391,124,24695,129,16,34913,32551,2294,68,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-11-00:52:12,Completed,MAD,POSTGRES_LOADER,0.01,100,1000000,True,True,True,True,10518,10090,376,109,24695,129,16,34913,32551,2294,68,,,,
