Query Name,ResultDir,exit_status,macrobase.analysis.transformType,macrobase.loader.loaderType,macrobase.analysis.contextual.denseContextTau,macrobase.analysis.classify.outlierStaticThreshold,macrobase.analysis.contextual.numTuples,macrobase.analysis.contextual.pruning.triviality,macrobase.analysis.contextual.pruning.contextContainedInOutliers,macrobase.analysis.contextual.pruning.mad.noOutliers,macrobase.analysis.contextual.pruning.mad.containedOutliers,timeTotal,timeBuildLattice,timeDetectContextualOutliers,timeMADNoOutliersContainedOutliersPruned,numDensityPruning,numTrivialityPruning,numContextContainedInOutliersPruning,numContextsGenerated,numMadNoOutliers,numMadContainedOutliers,numContextsGeneratedWithMaximalOutliers,precision,recall,precisionRelaxed,recallRelaxed
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-11-00:48:42,Completed,MAD,POSTGRES_LOADER,0.01,3,1000000,True,True,True,True,61414,60107,1251,209,2418,18,29,13545,2904,10640,1,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-11-00:50:01,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,True,True,True,True,60793,59650,1086,168,2418,18,29,13545,2904,10640,1,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-11-00:51:20,Completed,MAD,POSTGRES_LOADER,0.01,7,1000000,True,True,True,True,58279,57073,1146,152,2418,18,29,13545,2904,10640,1,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-11-00:52:39,Completed,MAD,POSTGRES_LOADER,0.01,9,1000000,True,True,True,True,59737,55099,4592,249,2418,18,29,13545,2904,10640,1,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-11-00:53:58,Completed,MAD,POSTGRES_LOADER,0.01,11,1000000,True,True,True,True,62774,61488,1237,229,2418,18,29,13545,2904,10640,1,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-11-00:55:18,Completed,MAD,POSTGRES_LOADER,0.01,20,1000000,True,True,True,True,59003,57741,1215,143,2418,18,29,13545,2904,10640,1,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-11-00:56:34,Completed,MAD,POSTGRES_LOADER,0.01,30,1000000,True,True,True,True,61149,60042,1070,175,2418,18,29,13545,2904,10640,1,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-11-00:57:55,Completed,MAD,POSTGRES_LOADER,0.01,40,1000000,True,True,True,True,59742,58403,1289,207,2418,18,29,13545,2904,10640,1,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-11-00:59:12,Completed,MAD,POSTGRES_LOADER,0.01,50,1000000,True,True,True,True,61568,56577,4943,256,2418,18,29,13545,2904,10640,1,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-11-01:00:33,Completed,MAD,POSTGRES_LOADER,0.01,60,1000000,True,True,True,True,60340,58810,1491,240,2418,18,29,13545,2904,10640,1,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-11-01:01:51,Completed,MAD,POSTGRES_LOADER,0.01,70,1000000,True,True,True,True,59989,58724,1221,237,2418,18,29,13545,2904,10640,1,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-11-01:03:12,Completed,MAD,POSTGRES_LOADER,0.01,80,1000000,True,True,True,True,59304,57802,1461,244,2418,18,29,13545,2904,10640,1,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-11-01:04:28,Completed,MAD,POSTGRES_LOADER,0.01,90,1000000,True,True,True,True,60827,56075,4696,145,2418,18,29,13545,2904,10640,1,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-11-01:05:50,Completed,MAD,POSTGRES_LOADER,0.01,100,1000000,True,True,True,True,61721,57694,3983,139,2418,18,29,13545,2904,10640,1,,,,
