Query Name,ResultDir,exit_status,macrobase.analysis.transformType,macrobase.loader.loaderType,macrobase.analysis.contextual.denseContextTau,macrobase.analysis.classify.outlierStaticThreshold,macrobase.analysis.contextual.numTuples,macrobase.analysis.contextual.pruning.triviality,macrobase.analysis.contextual.pruning.contextContainedInOutliers,macrobase.analysis.contextual.pruning.mad.noOutliers,macrobase.analysis.contextual.pruning.mad.containedOutliers,timeTotal,timeBuildLattice,timeDetectContextualOutliers,timeMADNoOutliersContainedOutliersPruned,numDensityPruning,numTrivialityPruning,numContextContainedInOutliersPruning,numContextsGenerated,numMadNoOutliers,numMadContainedOutliers,numContextsGeneratedWithMaximalOutliers,precision,recall,precisionRelaxed,recallRelaxed
fed_disbursements1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements1000000/11-11-00:48:42,Completed,MAD,POSTGRES_LOADER,0.01,3,1000000,True,True,True,True,128726,66787,61884,245,6812,301,5,9195,102,7788,1305,,,,
fed_disbursements1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements1000000/11-11-00:53:01,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,True,True,True,True,119287,42647,76575,148,6815,301,2,9205,112,7774,1319,,,,
fed_disbursements1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements1000000/11-11-00:57:02,Completed,MAD,POSTGRES_LOADER,0.01,7,1000000,True,True,True,True,128185,66716,61427,170,6815,301,0,9208,115,7773,1320,,,,
fed_disbursements1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements1000000/11-11-01:01:21,Completed,MAD,POSTGRES_LOADER,0.01,9,1000000,True,True,True,True,141286,75154,66090,156,6815,301,0,9208,115,7797,1296,,,,
fed_disbursements1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements1000000/11-11-01:05:53,Completed,MAD,POSTGRES_LOADER,0.01,11,1000000,True,True,True,True,140374,73112,67214,234,6815,301,0,9208,115,7805,1288,,,,
fed_disbursements1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements1000000/11-11-01:10:23,Completed,MAD,POSTGRES_LOADER,0.01,20,1000000,True,True,True,True,112924,55769,57105,218,6815,301,0,9208,115,7831,1262,,,,
fed_disbursements1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements1000000/11-11-01:14:26,Completed,MAD,POSTGRES_LOADER,0.01,30,1000000,True,True,True,True,130960,63351,67577,196,6815,301,0,9208,154,7840,1214,,,,
fed_disbursements1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements1000000/11-11-01:18:47,Completed,MAD,POSTGRES_LOADER,0.01,40,1000000,True,True,True,True,116253,63666,52546,209,6815,301,0,9208,155,7859,1194,,,,
fed_disbursements1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements1000000/11-11-01:22:52,Completed,MAD,POSTGRES_LOADER,0.01,50,1000000,True,True,True,True,104813,45045,59724,297,6815,301,0,9208,156,7891,1161,,,,
fed_disbursements1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements1000000/11-11-01:26:42,Completed,MAD,POSTGRES_LOADER,0.01,60,1000000,True,True,True,True,113660,61943,51672,307,6815,301,0,9208,165,7953,1090,,,,
fed_disbursements1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements1000000/11-11-01:30:43,Completed,MAD,POSTGRES_LOADER,0.01,70,1000000,True,True,True,True,127961,72755,55159,334,6815,301,0,9208,187,7942,1079,,,,
fed_disbursements1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements1000000/11-11-01:34:58,Completed,MAD,POSTGRES_LOADER,0.01,80,1000000,True,True,True,True,114651,51782,62835,174,6815,301,0,9208,271,7920,1017,,,,
fed_disbursements1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements1000000/11-11-01:39:00,Completed,MAD,POSTGRES_LOADER,0.01,90,1000000,True,True,True,True,102335,44124,58171,197,6815,301,0,9208,304,7922,982,,,,
fed_disbursements1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements1000000/11-11-01:42:52,Completed,MAD,POSTGRES_LOADER,0.01,100,1000000,True,True,True,True,99395,57926,41428,277,6815,301,0,9208,310,7924,974,,,,
