Query Name,ResultDir,exit_status,macrobase.analysis.transformType,macrobase.loader.loaderType,macrobase.analysis.contextual.denseContextTau,macrobase.analysis.classify.outlierStaticThreshold,macrobase.analysis.contextual.numTuples,macrobase.analysis.contextual.pruning.triviality,macrobase.analysis.contextual.pruning.contextContainedInOutliers,macrobase.analysis.contextual.pruning.mad.noOutliers,macrobase.analysis.contextual.pruning.mad.containedOutliers,timeTotal,timeBuildLattice,timeDetectContextualOutliers,timeMADNoOutliersContainedOutliersPruned,numDensityPruning,numTrivialityPruning,numContextContainedInOutliersPruning,numContextsGenerated,numMadNoOutliers,numMadContainedOutliers,numContextsGeneratedWithMaximalOutliers,precision,recall,precisionRelaxed,recallRelaxed
campaign_expenditures1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures1000000/11-11-00:48:42,Completed,MAD,POSTGRES_LOADER,0.01,3,1000000,True,True,True,True,61672,37226,24408,225,7250,666,43,6056,1495,4295,266,,,,
campaign_expenditures1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures1000000/11-11-00:51:37,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,True,True,True,True,59586,37059,22500,94,7254,670,38,6134,1598,4270,266,,,,
campaign_expenditures1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures1000000/11-11-00:54:24,Completed,MAD,POSTGRES_LOADER,0.01,7,1000000,True,True,True,True,63744,44171,19542,155,7261,675,28,6218,1742,4218,258,,,,
campaign_expenditures1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures1000000/11-11-00:57:16,Completed,MAD,POSTGRES_LOADER,0.01,9,1000000,True,True,True,True,64317,38100,26185,126,7261,675,28,6218,1758,4215,245,,,,
campaign_expenditures1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures1000000/11-11-01:00:11,Completed,MAD,POSTGRES_LOADER,0.01,11,1000000,True,True,True,True,83523,58718,24769,171,7267,678,25,6254,1893,4099,262,,,,
campaign_expenditures1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures1000000/11-11-01:03:29,Completed,MAD,POSTGRES_LOADER,0.01,20,1000000,True,True,True,True,54653,46143,8472,336,7270,683,16,6324,2115,4012,197,,,,
campaign_expenditures1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures1000000/11-11-01:06:11,Completed,MAD,POSTGRES_LOADER,0.01,30,1000000,True,True,True,True,64370,51162,13177,123,7289,691,0,6443,2687,3528,228,,,,
campaign_expenditures1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures1000000/11-11-01:09:03,Completed,MAD,POSTGRES_LOADER,0.01,40,1000000,True,True,True,True,73863,51677,22148,195,7289,691,0,6443,2845,3420,178,,,,
campaign_expenditures1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures1000000/11-11-01:12:08,Completed,MAD,POSTGRES_LOADER,0.01,50,1000000,True,True,True,True,51312,43352,7927,176,7289,691,0,6443,3154,3120,169,,,,
campaign_expenditures1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures1000000/11-11-01:14:51,Completed,MAD,POSTGRES_LOADER,0.01,60,1000000,True,True,True,True,55401,37500,17863,107,7289,691,0,6443,3814,2461,168,,,,
campaign_expenditures1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures1000000/11-11-01:17:40,Completed,MAD,POSTGRES_LOADER,0.01,70,1000000,True,True,True,True,69268,51721,17519,64,7289,691,0,6443,4394,1924,125,,,,
campaign_expenditures1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures1000000/11-11-01:20:32,Completed,MAD,POSTGRES_LOADER,0.01,80,1000000,True,True,True,True,90859,62408,28417,86,7289,691,0,6443,4551,1765,127,,,,
campaign_expenditures1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures1000000/11-11-01:23:43,Completed,MAD,POSTGRES_LOADER,0.01,90,1000000,True,True,True,True,55764,44769,10958,79,7289,691,0,6443,4654,1686,103,,,,
campaign_expenditures1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures1000000/11-11-01:26:30,Completed,MAD,POSTGRES_LOADER,0.01,100,1000000,True,True,True,True,47924,37001,10893,228,7289,691,0,6443,4961,1398,84,,,,
