Query Name,ResultDir,exit_status,macrobase.analysis.transformType,macrobase.loader.loaderType,macrobase.analysis.contextual.denseContextTau,macrobase.analysis.classify.outlierStaticThreshold,macrobase.analysis.contextual.numTuples,macrobase.analysis.contextual.pruning.triviality,macrobase.analysis.contextual.pruning.contextContainedInOutliers,macrobase.analysis.contextual.pruning.mad.noOutliers,macrobase.analysis.contextual.pruning.mad.containedOutliers,timeTotal,timeBuildLattice,timeDetectContextualOutliers,timeMADNoOutliersContainedOutliersPruned,numDensityPruning,numTrivialityPruning,numContextContainedInOutliersPruning,numContextsGenerated,numMadNoOutliers,numMadContainedOutliers,numContextsGeneratedWithMaximalOutliers,precision,recall,precisionRelaxed,recallRelaxed
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-11-00:48:41,Completed,MAD,POSTGRES_LOADER,0.01,3,1000000,True,True,True,True,385682,113479,272018,917,13524,1196,300,24592,1094,16678,6820,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-11-00:55:50,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,True,True,True,True,414240,133383,280694,845,13403,1163,239,25602,1612,17411,6578,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-11-01:03:26,Completed,MAD,POSTGRES_LOADER,0.01,7,1000000,True,True,True,True,362550,110451,251909,897,14283,1140,187,25667,2135,17414,6118,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-11-01:10:14,Completed,MAD,POSTGRES_LOADER,0.01,9,1000000,True,True,True,True,366160,115289,250686,835,13193,1122,146,24988,2402,16501,6085,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-11-01:17:05,Completed,MAD,POSTGRES_LOADER,0.01,11,1000000,True,True,True,True,350939,118702,232032,812,12551,1126,132,24646,2953,16350,5343,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-11-01:23:41,Completed,MAD,POSTGRES_LOADER,0.01,20,1000000,True,True,True,True,336934,102715,234030,864,12157,1126,38,24967,3698,16039,5230,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-11-01:30:06,Completed,MAD,POSTGRES_LOADER,0.01,30,1000000,True,True,True,True,389860,119079,270603,807,12617,1082,183,25463,5551,14789,5123,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-11-01:37:18,Completed,MAD,POSTGRES_LOADER,0.01,40,1000000,True,True,True,True,340467,115012,225312,803,14455,1272,67,25610,6653,14211,4746,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-11-01:43:44,Completed,MAD,POSTGRES_LOADER,0.01,50,1000000,True,True,True,True,342332,145082,197097,758,13366,1132,34,25486,8568,13088,3830,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-11-01:50:27,Completed,MAD,POSTGRES_LOADER,0.01,60,1000000,True,True,True,True,298597,108730,189726,669,12769,1100,23,24900,9118,12081,3701,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-11-01:56:11,Completed,MAD,POSTGRES_LOADER,0.01,70,1000000,True,True,True,True,301711,114943,186597,658,12435,1069,0,24374,10092,10801,3481,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-11-02:02:00,Completed,MAD,POSTGRES_LOADER,0.01,80,1000000,True,True,True,True,272685,106423,166090,593,13040,1160,0,24377,10911,10096,3370,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-11-02:07:14,Completed,MAD,POSTGRES_LOADER,0.01,90,1000000,True,True,True,True,279667,116154,163367,627,14105,1168,2,25426,11724,10279,3423,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-11-02:12:52,Completed,MAD,POSTGRES_LOADER,0.01,100,1000000,True,True,True,True,280172,122281,157765,636,13518,1106,18,25644,12121,10193,3330,,,,
