t,d1,d2,x
0,4,4,47.87645945916812
0,0,1,52.217331068024535
0,3,4,52.40045484108492
0,3,2,43.281323505081176
0,3,1,48.10294982150965
0,1,3,58.60814381216419
0,3,4,47.69612564509617
0,2,0,59.211639133331424
0,4,4,51.52866758607556
0,0,4,52.5896152319684
0,0,4,38.68159653795078
0,4,1,47.83316173739246
0,2,4,56.44827489552502
0,1,1,47.85714095220054
0,0,3,45.99653961745902
0,1,2,47.812074008891116
0,1,2,52.60122002024741
0,0,2,45.206078485418516
0,1,4,47.44097581619612
0,4,1,45.2893115237648
0,3,2,44.40787840066159
0,0,3,58.05934460864944
0,3,2,43.626645486489465
0,0,4,53.53576848074845
0,2,0,50.609032108639184
0,3,2,55.99051959319207
0,0,4,53.18176728890359
0,1,4,49.63592247878652
0,3,0,54.878893126949535
0,3,2,47.9131993364434
0,3,2,49.992282274155954
0,0,3,46.18987543657705
0,1,4,47.328140396312946
0,1,2,52.202564881406545
0,1,2,43.37979198663636
0,0,1,57.21318872675231
0,2,0,52.032513143961296
0,4,3,57.816338317911
0,3,0,50.078087672008294
0,3,1,47.737624590500886
0,2,1,55.37646374160846
0,4,1,56.0179765882789
0,2,2,45.644430397361276
0,0,0,51.0205560125108
0,0,0,51.23449578757046
0,4,4,49.11257878419566
0,0,2,44.24827054754545
0,4,3,43.80898959817084
0,1,3,62.068560650268374
0,4,4,55.87545879822035
0,1,1,57.983917955426435
0,2,2,41.716458041534764
0,2,0,38.34259577250439
0,0,4,56.69709332606634
0,1,0,44.883710409025994
0,1,0,54.914295815617066
0,1,0,53.192738438100925
0,1,1,53.33207645172161
0,3,3,49.482785172899426
0,3,1,55.14867185955697
0,2,1,51.34047568710807
0,3,3,47.32469089034467
0,0,3,47.85801182812778
0,3,4,43.9525664487211
0,4,1,49.01332911734376
0,1,2,52.55302777768816
0,2,0,55.495197526224345
0,4,2,48.33135592394312
0,3,2,47.70581376493059
0,4,2,45.85962499080023
0,4,3,48.68252705748459
